term,estimate,standard_error,z_value,p_value,ci_lower,ci_upper
Group Var,2.6017010247536736,0.5829717884645598,4.46282491920591,8.088614202169782e-06,1.4590973153602336,3.7443047341471134
Group x log2_budget Cov,0.1340111811134012,0.0530110216307301,2.527987142879656,0.0114718552942027,0.0301114879334963,0.2379108742933062
log2_budget Var,0.0168078226159223,0.0099976965684169,1.6811695074862387,0.0927299944851617,-0.0027873025865345,0.0364029478183791
