term,estimate,standard_error,z_value,p_value,ci_lower,ci_upper,term_label
Intercept,0.68240841117452,0.0430264156369192,15.860219845712011,1.1947492720635342e-56,0.5980781861423073,0.7667386362067327,Intercept
C(method)[T.logvar_lda],-0.0213207798013415,0.0232372808261173,-0.9175247293727375,0.3588677404583978,-0.0668650133191746,0.0242234537164914,Method: log-variance + LDA (vs. CSP + LDA)
C(method)[T.riemann_lr],0.0189206711532813,0.0232372808261173,0.8142377455806116,0.4155087658647937,-0.0266235623645517,0.0644649046711144,Method: Riemannian TS + LR (vs. CSP + LDA)
C(regime)[T.subject],-0.1215769002734592,0.0232372808261185,-5.231976201656416,1.677073463012965e-07,-0.1671211337912947,-0.0760326667556237,Regime: subject-only (vs. source + target)
C(dataset)[T.Lee2019_MI],-0.0509295720604966,0.0435599422309199,-1.1691836456189229,0.242329648861672,-0.136305490001745,0.0344463458807517,Dataset: Lee2019_MI (vs. BNCI2014_001)
C(dataset)[T.Zhou2016],0.1228931300100131,0.094665278523957,1.2981859022250966,0.1942234613245845,-0.0626474064833956,0.3084336665034219,Dataset: Zhou2016 (vs. BNCI2014_001)
log2_budget,0.0128204968661047,0.0041677568739539,3.076114383308992,0.0020971737626206,0.0046518434968357,0.0209891502353737,log2(budget + 1)
log2_budget:C(regime)[T.subject],0.0273582755395752,0.0056928513140577,4.805724588663927,1.5419203764575954e-06,0.0162004919946804,0.03851605908447,log2(budget+1) × subject-only
