dataset,method,regime,budget_per_class,metric,mean,ci_lower,ci_upper,n_subjects,sd,median,ci_level,bootstrap_resamples,figure_panel
Lee2019_MI,logvar_lda,subject,5,roc_auc,0.584905925925926,0.5588430925925927,0.6146755462962962,54,0.1053762304392186,0.5548,0.95,2000,A
Lee2019_MI,logvar_lda,subject,10,roc_auc,0.6190485185185184,0.5873590462962963,0.6540106759259259,54,0.1232823097748585,0.58354,0.95,2000,A
Lee2019_MI,logvar_lda,subject,20,roc_auc,0.6541629629629631,0.6175720740740741,0.6911431666666666,54,0.1376141120126038,0.6291,0.95,2000,A
Lee2019_MI,logvar_lda,subject,40,roc_auc,0.678008888888889,0.6399517222222222,0.7188415370370372,54,0.148447611477784,0.6462600000000001,0.95,2000,A
Lee2019_MI,logvar_lda,source_plus_target,0,roc_auc,0.6427629629629629,0.6037229629629629,0.6828496296296295,54,0.1484392313198528,0.6202,0.95,2000,A
Lee2019_MI,logvar_lda,source_plus_target,5,roc_auc,0.6485940740740742,0.6093688148148149,0.6883574444444444,54,0.1484005147542122,0.6263000000000001,0.95,2000,A
Lee2019_MI,logvar_lda,source_plus_target,10,roc_auc,0.6542540740740741,0.6156715925925924,0.6935478888888889,54,0.1491064671479842,0.6344,0.95,2000,A
Lee2019_MI,logvar_lda,source_plus_target,20,roc_auc,0.6631948148148148,0.6240480925925925,0.7024502777777778,54,0.1486767243554262,0.65126,0.95,2000,A
Lee2019_MI,logvar_lda,source_plus_target,40,roc_auc,0.6774925925925926,0.6390837777777778,0.7171505555555555,54,0.1506450792887254,0.66126,0.95,2000,A
Lee2019_MI,csp_lda,subject,5,roc_auc,0.602395925925926,0.5665851296296298,0.6405252222222222,54,0.1437289988927474,0.55408,0.95,2000,B
Lee2019_MI,csp_lda,subject,10,roc_auc,0.6429555555555555,0.6030963148148146,0.6876238425925925,54,0.1637164338942307,0.57792,0.95,2000,B
Lee2019_MI,csp_lda,subject,20,roc_auc,0.6797188888888889,0.6318346296296297,0.7259923518518518,54,0.1762298160975066,0.63576,0.95,2000,B
Lee2019_MI,csp_lda,subject,40,roc_auc,0.7140622222222222,0.6674336481481481,0.7638661111111112,54,0.1843978865620576,0.66858,0.95,2000,B
Lee2019_MI,csp_lda,source_plus_target,0,roc_auc,0.6498148148148148,0.6110038888888889,0.6901046296296297,54,0.1490325776813325,0.6272,0.95,2000,B
Lee2019_MI,csp_lda,source_plus_target,5,roc_auc,0.6590896296296296,0.6200437037037037,0.6986698518518517,54,0.1496271542170923,0.6464799999999999,0.95,2000,B
Lee2019_MI,csp_lda,source_plus_target,10,roc_auc,0.6667940740740741,0.6260970000000001,0.7075098333333332,54,0.1590634701195877,0.65828,0.95,2000,B
Lee2019_MI,csp_lda,source_plus_target,20,roc_auc,0.6789711111111112,0.6357847962962964,0.7220819259259258,54,0.1626678184668986,0.66776,0.95,2000,B
Lee2019_MI,csp_lda,source_plus_target,40,roc_auc,0.6930274074074073,0.6500100370370371,0.7352987962962964,54,0.1679112960474114,0.6736800000000001,0.95,2000,B
Lee2019_MI,riemann_lr,subject,5,roc_auc,0.6477051851851853,0.6119115370370372,0.6872985740740741,54,0.1455811373426003,0.60048,0.95,2000,C
Lee2019_MI,riemann_lr,subject,10,roc_auc,0.6837896296296299,0.6454961481481483,0.7257884444444443,54,0.1553840762459385,0.65162,0.95,2000,C
