classification,scope_dataset,metric,budget_per_class,method,contrast,n_pairs,mean_difference,median_difference,ci_lower,ci_upper
post_confirmatory_exploratory_robustness,Lee2019_MI,roc_auc,20,riemann_lr,EA source_plus_target - EA subject,54,0.016469629629629633,-0.0028200000000000447,-0.008454351851851826,0.040300777777777776
post_confirmatory_exploratory_robustness,Lee2019_MI,roc_auc,40,riemann_lr,EA source_plus_target - EA subject,54,-0.0056185185185185175,-0.01314000000000004,-0.028168925925925924,0.01636809259259258
post_confirmatory_exploratory_robustness,Zhou2016,roc_auc,5,csp_lda,EA source_plus_target - EA subject,2,0.14761999999999997,0.14761999999999997,0.13715999999999984,0.1580800000000001
post_confirmatory_exploratory_robustness,Zhou2016,roc_auc,10,csp_lda,EA source_plus_target - EA subject,2,0.09377999999999997,0.09377999999999997,0.07095999999999991,0.11660000000000004
post_confirmatory_exploratory_robustness,Zhou2016,roc_auc,20,csp_lda,EA source_plus_target - EA subject,2,0.041260000000000074,0.041260000000000074,0.01660000000000006,0.06592000000000009
post_confirmatory_exploratory_robustness,Zhou2016,roc_auc,40,csp_lda,EA source_plus_target - EA subject,2,0.03759999999999997,0.03759999999999997,0.006199999999999983,0.06899999999999995
post_confirmatory_exploratory_robustness,Zhou2016,roc_auc,5,logvar_lda,EA source_plus_target - EA subject,2,0.10732000000000003,0.10732000000000003,0.06479999999999997,0.14984000000000008
post_confirmatory_exploratory_robustness,Zhou2016,roc_auc,10,logvar_lda,EA source_plus_target - EA subject,2,0.05344000000000004,0.05344000000000004,0.027039999999999953,0.07984000000000013
post_confirmatory_exploratory_robustness,Zhou2016,roc_auc,20,logvar_lda,EA source_plus_target - EA subject,2,0.025859999999999828,0.025859999999999828,0.006519999999999859,0.045199999999999796
post_confirmatory_exploratory_robustness,Zhou2016,roc_auc,40,logvar_lda,EA source_plus_target - EA subject,2,0.01931999999999995,0.01931999999999995,0.0018799999999998818,0.036760000000000015
post_confirmatory_exploratory_robustness,Zhou2016,roc_auc,5,riemann_lr,EA source_plus_target - EA subject,2,0.08755999999999997,0.08755999999999997,0.05899999999999994,0.11612
post_confirmatory_exploratory_robustness,Zhou2016,roc_auc,10,riemann_lr,EA source_plus_target - EA subject,2,0.05113999999999996,0.05113999999999996,0.01859999999999995,0.08367999999999998
post_confirmatory_exploratory_robustness,Zhou2016,roc_auc,20,riemann_lr,EA source_plus_target - EA subject,2,0.010859999999999925,0.010859999999999925,-0.005160000000000053,0.026879999999999904
post_confirmatory_exploratory_robustness,Zhou2016,roc_auc,40,riemann_lr,EA source_plus_target - EA subject,2,0.0036599999999998856,0.0036599999999998856,0.0020000000000000018,0.005319999999999769
