classification,method,budget_per_class,scope_dataset,metric,contrast,n_total,n_positive,n_zero,n_negative,fraction_positive
descriptive_exploratory_summary,riemann_lr,5,Zhou2016,roc_auc,ROC-AUC(source_plus_target) - ROC-AUC(subject),2,2,0,0,1.0
descriptive_exploratory_summary,riemann_lr,10,ALL,roc_auc,ROC-AUC(source_plus_target) - ROC-AUC(subject),65,37,0,28,0.5692307692307692
descriptive_exploratory_summary,riemann_lr,10,BNCI2014_001,roc_auc,ROC-AUC(source_plus_target) - ROC-AUC(subject),9,2,0,7,0.2222222222222222
descriptive_exploratory_summary,riemann_lr,10,Lee2019_MI,roc_auc,ROC-AUC(source_plus_target) - ROC-AUC(subject),54,33,0,21,0.6111111111111112
descriptive_exploratory_summary,riemann_lr,10,Zhou2016,roc_auc,ROC-AUC(source_plus_target) - ROC-AUC(subject),2,2,0,0,1.0
descriptive_exploratory_summary,riemann_lr,20,ALL,roc_auc,ROC-AUC(source_plus_target) - ROC-AUC(subject),65,25,1,39,0.38461538461538464
descriptive_exploratory_summary,riemann_lr,20,BNCI2014_001,roc_auc,ROC-AUC(source_plus_target) - ROC-AUC(subject),9,1,0,8,0.1111111111111111
descriptive_exploratory_summary,riemann_lr,20,Lee2019_MI,roc_auc,ROC-AUC(source_plus_target) - ROC-AUC(subject),54,22,1,31,0.4074074074074074
descriptive_exploratory_summary,riemann_lr,20,Zhou2016,roc_auc,ROC-AUC(source_plus_target) - ROC-AUC(subject),2,2,0,0,1.0
descriptive_exploratory_summary,riemann_lr,40,ALL,roc_auc,ROC-AUC(source_plus_target) - ROC-AUC(subject),65,19,1,45,0.2923076923076923
descriptive_exploratory_summary,riemann_lr,40,BNCI2014_001,roc_auc,ROC-AUC(source_plus_target) - ROC-AUC(subject),9,1,0,8,0.1111111111111111
descriptive_exploratory_summary,riemann_lr,40,Lee2019_MI,roc_auc,ROC-AUC(source_plus_target) - ROC-AUC(subject),54,16,1,37,0.2962962962962963
descriptive_exploratory_summary,riemann_lr,40,Zhou2016,roc_auc,ROC-AUC(source_plus_target) - ROC-AUC(subject),2,2,0,0,1.0
