method_left,budget_per_class,mean_difference_primary,ci_lower_primary,ci_upper_primary,p_holm_primary,mean_difference_ea,ci_lower_ea,ci_upper_ea,p_holm_ea,direction_primary,direction_ea,direction_consistent,diff_ea_minus_primary,magnitude_change,ci_excludes_zero_primary,ci_excludes_zero_ea
csp_lda,5.0,0.0570084423076923,0.0281103645833333,0.0834004466583571,0.0003401916452884,0.1133579707977208,0.0878247242343304,0.1356655401175213,2.3164287165379275e-09,+,+,True,0.05634952849002849,strengthened,True,True
csp_lda,10.0,0.0209215071225071,-0.011447650759734,0.0504376300332383,0.1355455794367129,0.0771313955365622,0.0521882624347103,0.1011224265906932,3.6707808587729147e-07,+,+,True,0.0562098884140551,strengthened,False,True
logvar_lda,5.0,0.058755542022792,0.0308267972637701,0.0850973013948243,0.0003363909796274,0.1158674173789173,0.0905991547542734,0.1395417583926875,2.162522635624982e-09,+,+,True,0.0571118753561253,strengthened,True,True
logvar_lda,10.0,0.0314293162393162,0.0044711660018993,0.0579194947530864,0.0162768021016583,0.0661618746438746,0.0436325499881291,0.0880100353869895,3.54432671493648e-06,+,+,True,0.034732558404558404,strengthened,True,True
riemann_lr,5.0,0.0350851685660019,0.0104524510090218,0.0602643785018993,0.0153257246981785,0.054307168091168,0.0319509104700854,0.0762004970560303,3.268020302365316e-05,+,+,True,0.0192219995251661,strengthened,True,True
riemann_lr,10.0,0.0081683746438746,-0.0163599420584045,0.0310936806980056,0.4782993216289299,0.0289890223171889,0.0062436562440645,0.0504853222578347,0.0201700386157145,+,+,True,0.020820647673314298,strengthened,False,True
